date,group,diff,cnt,groupcat
0,0,-0.477366255144033,71,without
1,0,-3.5017667844523,58,without
2,0,-1.14509803921569,47,without
3,0,-0.51528384279476,50,without
4,0,-9.23580786026201,49,without
5,0,-4.85714285714286,48,without
6,0,-8.1063829787234,42,without
7,0,-4.80693069306931,44,without
8,0,-1.67857142857143,41,without
9,0,-5.43956043956044,41,without
10,0,-8.39490445859873,37,without
11,0,3.48611111111111,33,without
12,0,-5.19230769230769,34,without
13,0,-0.224489795918367,32,without
14,0,-4.07471264367816,38,without
15,0,-5.44047619047619,36,without
16,0,-5.3961038961039,32,without
17,0,-6.13432835820895,29,without
18,0,-5.65441176470588,30,without
19,0,-7.8551724137931,31,without
20,0,-7.75555555555556,27,without
21,0,-4.03252032520325,26,without
22,0,-4.91818181818182,23,without
23,0,1.19626168224299,20,without
24,0,5.68085106382979,17,without
25,0,2.28735632183908,17,without
26,0,0.27710843373494,16,without
27,0,4.77049180327869,12,without
28,0,4.21428571428571,6,without
29,0,19,2,without
30,0,-6,1,without
31,0,-1,1,without
35,0,-9,1,without
36,0,7.33333333333333,1,without
37,0,30.3333333333333,1,without
38,0,15,1,without
39,0,25.6363636363636,1,without
40,0,18.6666666666667,1,without
41,0,18.5,1,without
42,0,16,1,without
43,0,32,1,without
44,0,38,1,without
46,0,30,1,without
47,0,29,1,without
48,0,26.5,1,without
49,0,6.66666666666667,1,without
50,0,10,1,without
51,0,15,1,without
52,0,6.25,1,without
53,0,25,1,without
54,0,19.25,1,without
55,0,8.25,1,without
56,0,13.8,1,without
57,0,18,1,without
58,0,16.2857142857143,1,without
59,0,21.1428571428571,1,without
60,0,32.4,1,without
61,0,25.1666666666667,1,without
62,0,35.1666666666667,1,without
63,0,38.4,1,without
0,1,-0.152542372881356,52,with
1,1,9.05,41,with
2,1,-0.596491228070175,39,with
3,1,3.33720930232558,39,with
4,1,2.15976331360947,39,with
5,1,2.40106951871658,37,with
6,1,4.21301775147929,36,with
7,1,10.5060975609756,39,with
8,1,0.168604651162791,34,with
9,1,0.587878787878788,32,with
10,1,-0.902777777777778,26,with
11,1,2.00729927007299,26,with
12,1,3.82978723404255,29,with
13,1,3.14965986394558,30,with
14,1,0.031496062992126,27,with
15,1,-3.48854961832061,28,with
16,1,5.85496183206107,27,with
17,1,5.5655737704918,25,with
18,1,4.96774193548387,25,with
19,1,0.363636363636364,27,with
20,1,-1.78448275862069,22,with
21,1,-2.91919191919192,21,with
22,1,-4.09278350515464,19,with
23,1,-8.40506329113924,16,with
24,1,-11.53125,14,with
25,1,-11.3285714285714,13,with
26,1,-3.04,11,with
27,1,-19.8333333333333,6,with
28,1,-18.9166666666667,3,with
29,1,-43,1,with
