date,diff,cnt
0,-1.64083389984138,1463
1,-2.03358946212953,1687
2,-2.90405170270942,1537
3,-2.60948703805847,1388
4,-3.15846824408468,1308
5,-2.7667997338656,1200
6,-2.88557034904642,1077
7,-2.5948275862069,952
8,-2.73867135943687,881
9,-2.80822550831793,863
10,-2.82409177820268,820
11,-3.18627450980392,733
12,-2.99672988881622,599
13,-2.6612779060816,440
14,-2.6311263972485,378
15,-3.10239852398524,357
16,-2.54056437389771,404
17,-2.07788944723618,399
18,-2.22448979591837,395
19,-2.55681818181818,380
20,-1.87712665406427,334
21,-3.52012711864407,308
22,-2.51609322974473,279
23,-2.33831990794016,263
24,-2.77749029754204,230
25,-2.43489932885906,210
26,-3.00306748466258,194
27,-2.4983498349835,171
28,-2.85968028419183,169
29,-2.47841105354059,155
30,-3.20380952380952,154
31,-2.87478260869565,150
32,-2.09540636042403,143
33,-2.65913043478261,145
34,-5.03491271820449,111
35,-3.90243902439024,78
36,-6.18592964824121,56
37,-6.83221476510067,37
38,-4.67763157894737,37
39,-5.91428571428571,35
40,-5.96875,23
41,-5.99,23
42,-6.90425531914894,18
43,-7.63333333333333,24
44,-4.09411764705882,21
45,-3.72307692307692,18
46,-2.5,23
47,-4.87619047619048,16
48,-5.13636363636364,18
49,-7.94805194805195,15
50,-6.59036144578313,13
51,-6.20481927710843,15
52,-6.38461538461539,13
53,-6.29850746268657,14
54,-5.85074626865672,11
55,-7.3974358974359,12
56,-6.54285714285714,14
57,-6.30666666666667,12
58,-7.10810810810811,13
59,-10.3432835820896,15
60,-7.42253521126761,12
61,-6.36111111111111,11
62,-5.43076923076923,13
63,-5.9125,12
64,-5.86885245901639,13
65,-6.38709677419355,9
66,-6.54545454545455,9
67,-5.18518518518519,10
68,-9.03448275862069,10
69,-6.84848484848485,12
70,-11.2073170731707,10
71,-7.78481012658228,9
72,-9.05882352941176,11
73,-11.6521739130435,7
74,-9.42045454545454,9
75,-9.74117647058823,9
76,-9.16867469879518,11
77,-5.38181818181818,9
78,-6.87719298245614,10
79,-5.3953488372093,4
80,-10.2051282051282,3
81,-0.703703703703704,3
82,-4.08823529411765,3
83,-2.33333333333333,2
84,-4.8,1
85,-16,1
86,-7.05,1
87,5.46153846153846,1
88,-3.8,2
89,-1.21052631578947,2
90,-3,1
93,-14,1
94,-11,1
110,-10,1
111,-7.16666666666667,1
112,10.5,2
113,6,1
114,4.72727272727273,1
115,7.33333333333333,1
116,-1.5,2
117,11.25,1
119,-4,1
120,-2,1
122,11.5,1
124,-5.8,1
125,-12,1
126,10.75,1
127,7,1
128,15.6666666666667,1
129,0.5,1
130,-2,1
131,-1.75,1
132,8.25,1
133,-5.66666666666667,1
134,-1.5,1
135,-2,1
136,-16.5555555555556,1
137,-6.6,1
138,-0.75,1
139,-14.3333333333333,1
141,-7.5,1
142,5,1
143,-4,1
144,-8,1
145,-2,1
146,-8,1
147,-6,1
148,-4.66666666666667,1
149,-7.16666666666667,1
150,-8,1
151,3.625,1
152,14,1
153,-3,1
154,-16,1
155,-5.5,1
208,11.6666666666667,1
209,4.57142857142857,1
210,5.5,1
220,10,1
221,15,1
222,12,1
230,12,1
