date,diff,cnt
0,-2.28914570586902,1463
1,-2.68166849615807,1687
2,-3.59383544618444,1537
3,-3.03006067291782,1388
4,-3.97820672478207,1308
5,-4.02761144377911,1200
6,-4.27275998560633,1077
7,-3.81724137931035,952
8,-3.84601847778267,881
9,-4.25138632162662,863
10,-3.78011472275335,820
11,-5.46949891067538,733
12,-4.68999345977763,599
13,-4.3256351039261,440
14,-4.72398968185727,378
15,-3.27214022140221,357
16,-2.94444444444444,404
17,-3.33835845896147,399
18,-3.42857142857143,395
19,-3.29545454545455,380
20,-2.36389413988658,334
21,-4.37817796610169,308
22,-2.30521642619312,279
23,-2.12543153049482,263
24,-2.10737386804657,230
25,-2.52751677852349,210
26,-1.61196319018405,194
27,-1.97524752475248,171
28,-1.74067495559503,169
29,-1.15544041450777,155
30,-1.79428571428571,154
31,-1.29913043478261,150
32,-0.436395759717314,143
33,-1.70608695652174,145
34,-3.9002493765586,111
35,-3.83231707317073,78
36,-9.57788944723618,56
37,-6.90604026845638,37
38,-1.48684210526316,37
39,-4.2952380952381,35
40,-4.36458333333333,23
41,-1.12,23
42,-6.63829787234043,18
43,-8.3,24
44,-3.95294117647059,21
45,-4.15384615384615,18
46,-2.4375,23
47,-3.63809523809524,16
48,-5.68181818181818,18
49,-7.72727272727273,15
50,-6.60240963855422,13
51,-8.80722891566265,15
52,-5.33333333333333,13
53,-9.97014925373134,14
54,-7.16417910447761,11
55,-7.32051282051282,12
56,-10,14
57,-5.37333333333333,12
58,-9.02702702702703,13
59,-12.089552238806,15
60,-8.15492957746479,12
61,-7.29166666666667,11
62,-3.21538461538462,13
63,-8.5375,12
64,-5.52459016393443,13
65,-6.17741935483871,9
66,-6.87272727272727,9
67,-6.22222222222222,10
68,-7.75862068965517,10
69,-5.84848484848485,12
70,-15.0731707317073,10
71,-5.17721518987342,9
72,-14.4411764705882,11
73,-14.4927536231884,7
74,-6.125,9
75,-8.63529411764706,9
76,-5.48192771084337,11
77,-4.61818181818182,9
78,-3.45614035087719,10
79,0.0465116279069767,4
80,-4.58974358974359,3
81,-0.740740740740741,3
82,-3.35294117647059,3
83,-3,2
84,-12.8,1
85,-30.3636363636364,1
86,-17.35,1
87,5.69230769230769,1
88,-11.7333333333333,2
89,-3.78947368421053,2
90,-13,1
93,0,1
94,2,1
110,-6,1
111,-2.33333333333333,1
112,26.75,2
113,14.8620689655172,1
114,11,1
115,18.6666666666667,1
116,10,2
117,21.5,1
119,-3,1
120,-2,1
122,27.5,1
124,-1,1
125,-12,1
126,20.25,1
127,19,1
128,39.3333333333333,1
129,17,1
130,0.25,1
131,1,1
132,18.25,1
133,11.8333333333333,1
134,4,1
135,2.25,1
136,-16.5555555555556,1
137,2.8,1
138,-1.5,1
139,-13,1
141,-4.5,1
142,8,1
143,-4,1
144,1,1
145,0,1
146,-5.875,1
147,-1.66666666666667,1
148,-6.44444444444444,1
149,-3.66666666666667,1
150,10,1
151,8.875,1
152,20,1
153,-0.5,1
154,-14,1
155,-6.5,1
208,21,1
209,6.14285714285714,1
210,16.5,1
220,9.5,1
221,16.5,1
222,8,1
230,8,1
