date,BMIQ,diff,cnt,group
0,1,-0.592143549951503,1031,low
1,1,-0.646201873048907,961,low
2,1,-0.843567567567568,925,low
3,1,-0.981100141043724,709,low
4,1,-1.42507645259939,654,low
5,1,-1.17047619047619,525,low
6,1,-1.57311827956989,465,low
7,1,-1.22413793103448,464,low
8,1,-2.17507082152974,353,low
9,1,-1.00461538461538,195,low
10,1,-1.50384615384615,130,low
11,1,-0.832386363636364,176,low
12,1,-0.0173410404624277,173,low
13,1,-0.49136690647482,139,low
14,1,-0.0863636363636364,110,low
15,1,-0.414772727272727,88,low
16,1,-1.41919191919192,99,low
17,1,-0.168831168831169,77,low
18,1,-0.992857142857143,70,low
19,1,-1.05263157894737,57,low
20,1,-0.864406779661017,59,low
21,1,-1.15,60,low
22,1,-0.659090909090909,44,low
23,1,-1.24418604651163,43,low
24,1,-0.907142857142857,28,low
25,1,-1.51851851851852,27,low
26,1,-0.147222222222223,36,low
27,1,0.557142857142857,28,low
28,1,-0.512500000000001,24,low
29,1,-0.55625,16,low
30,1,-1.24285714285714,21,low
31,1,-0.0214285714285722,14,low
32,1,-0.787500000000001,16,low
33,1,-2.55333333333333,15,low
34,1,-4.6875,8,low
35,1,-0.854545454545455,11,low
36,1,-0.0444444444444451,9,low
37,1,1.9625,8,low
38,1,-2.48571428571429,7,low
39,1,-0.75,10,low
40,1,-0.914285714285715,7,low
41,1,-1.83333333333333,6,low
42,1,1.6,5,low
43,1,0.199999999999998,6,low
44,1,4.21428571428571,7,low
45,1,0,3,low
46,1,7,1,low
47,1,3.16666666666667,3,low
48,1,5.5,1,low
49,1,8.75,2,low
50,1,6.5,1,low
51,1,7.5,1,low
52,1,4.91666666666667,6,low
53,1,6.75,4,low
54,1,3.83333333333333,3,low
55,1,10,1,low
0,4,-0.80363475177305,1128,high
1,4,-1.2515444015444,1036,high
2,4,-1.97160883280757,951,high
3,4,-2.23481894150418,718,high
4,4,-2.78191027496382,691,high
5,4,-2.91488469601677,477,high
6,4,-3.47935222672065,494,high
7,4,-4.20917647058824,425,high
8,4,-6.1663768115942,345,high
9,4,-6.1579185520362,221,high
10,4,-6.73692307692308,130,high
11,4,-5.65029585798817,169,high
12,4,-3.93135593220339,118,high
13,4,-5.81619047619048,105,high
14,4,-4.05641025641026,78,high
15,4,-8.632,75,high
16,4,-5.49342105263158,76,high
17,4,-8.76451612903226,62,high
18,4,-12.4354166666667,48,high
19,4,-7.03275862068965,58,high
20,4,-10.3474576271186,59,high
21,4,-8.21964285714286,56,high
22,4,-9.2875,40,high
23,4,-10.3130434782609,46,high
24,4,-9.14516129032258,31,high
25,4,-6.05384615384615,26,high
26,4,-4.01785714285714,28,high
27,4,-4.66923076923077,26,high
28,4,1.35,26,high
29,4,-5.14285714285714,14,high
30,4,-4.11176470588235,17,high
31,4,-4.38888888888889,18,high
32,4,-9.49230769230769,13,high
33,4,-6.38888888888889,9,high
34,4,-5.02857142857143,14,high
35,4,4.59090909090909,11,high
36,4,7.68333333333333,6,high
37,4,4.83333333333333,6,high
38,4,5.125,8,high
39,4,2.64545454545455,11,high
40,4,-3.27777777777778,9,high
41,4,3.11111111111111,9,high
42,4,1.87272727272727,11,high
43,4,-2.16666666666667,9,high
44,4,-2.5,8,high
46,4,-1.75,2,high
48,4,3.5,1,high
49,4,2.5,3,high
50,4,1.5,1,high
51,4,0.25,2,high
52,4,2,1,high
