Week	Leavers	On the Fence	Stayers	Total
6	7	16	19	42
7	15	16	26	57
8	12	24	31	67
9	18	25	30	73
10	25	20	36	81
11	16	31	44	91
12	27	36	37	100
13	21	35	53	109
14	30	36	51	117
15	23	43	56	122
16	47	29	57	133
17	47	43	55	145
18	39	41	76	156
19	44	41	83	168
20	53	54	71	178
21	47	59	78	184
22	47	60	90	197
23	49	59	100	208
24	44	67	104	215
25	57	70	94	221
26	63	63	109	235
27	59	68	113	240
28	60	65	126	251
29	79	64	119	262
30	77	77	121	275
31	60	94	131	285
32	71	78	147	296
33	76	95	135	306
34	72	104	137	313
35	79	99	143	321
36	80	84	167	331
37	92	97	147	336
38	99	90	151	340
39	91	98	160	349
40	93	101	164	358
41	90	96	178	364
42	87	112	177	376
43	96	113	174	383
44	99	121	165	385
45	103	123	171	397
46	97	119	189	405
47	109	114	189	412
48	89	126	210	425
49	110	135	183	428
50	120	125	192	437
51	97	139	206	442
52	111	137	202	450
53	119	130	209	458
54	114	147	203	464
55	119	131	224	474
56	106	158	220	484
57	115	162	215	492
