Week	Pedometer	Logins	Questions	Weekend-Logins	Self-Trackers
10	73.53833333	74.52833333	66.38666667	54.66833333	65.22333333
11	77.43833333	74.665	67.425	56.25666667	66.47
12	79.70166667	74.98333333	70.06	57.24166667	66.36833333
13	82.08666667	77.11666667	71.48166667	59.70666667	67.23166667
14	81.905	79.31666667	72.72333333	59.99	67.58666667
15	81.59	79.96	73.045	60.22	68.135
16	81.72333333	79.88666667	73.65333333	59.915	68.295
17	81.89833333	80.29166667	74.38333333	59.98	68.08666667
18	82.68833333	80.14166667	74.64666667	59.91	68.265
19	82.9	80.12833333	74.275	59.08	68.37166667
20	84.10333333	80.38166667	74.43	58.76333333	68.515
21	84.83833333	80.93333333	74.525	58.90166667	68.65166667
22	85.19333333	81.88	74.55833333	59.52166667	68.81833333
23	85.51	82.12666667	74.67666667	59.995	69.31166667
24	86.05666667	83.09	75.28	60.59833333	69.555
25	87.15833333	83.95166667	76.04166667	61.58666667	69.755
26	87.02833333	84.05833333	76.10333333	61.835	69.68333333
27	86.88666667	84.59	76.27166667	62.24	69.61333333
28	87.26833333	85.31	76.00166667	62.34833333	69.63166667
29	87.39166667	85.90833333	76.16666667	62.46333333	69.585
30	87.22166667	85.97333333	76.02666667	62.445	69.66333333
31	87.03333333	85.85833333	76.02833333	62.27833333	69.60333333
32	87.085	86.04833333	76.58333333	62.72166667	69.505
33	87.64166667	86.22333333	76.75833333	62.48	69.52
34	88.34333333	86.04833333	77.355	62.56	69.48
35	88.80833333	86.39666667	77.78333333	62.695	69.555
36	88.93166667	86.53	77.98666667	62.87666667	69.45333333
37	89.06	86.42833333	77.96666667	62.94666667	69.51333333
38	89.375	86.52333333	78.045	62.84333333	69.68333333
39	89.18166667	86.235	78.18666667	62.985	69.69
40	89.03666667	86.17666667	78.08	63.025	69.75
41	89.33	86.08833333	78.01333333	62.97	69.71166667
42	89.43166667	86.12166667	78.105	62.91833333	69.72333333
43	89.77666667	86.3	78.30333333	62.96833333	69.635
44	90.195	86.46166667	78.19166667	63.15	69.59166667
45	90.14333333	86.29166667	78.13666667	63.05333333	69.59666667
46	90.405	86.16666667	78.30333333	62.96166667	69.60166667
47	90.39833333	86.26666667	78.25333333	62.88333333	69.65166667
48	90.565	86.3	78.015	62.76666667	69.74166667
49	90.56	86.515	77.97333333	62.88	69.83
50	90.32166667	86.495	77.69833333	62.79666667	69.835
51	90.53666667	86.61833333	77.615	62.83166667	69.84
52	90.22333333	86.96	77.30166667	62.87	69.77
53	89.96166667	86.96333333	77.37166667	63.06	69.70166667
54	90.18333333	87.19166667	77.63333333	63.17166667	69.665
55	90.075	87.085	77.70666667	62.94833333	69.59333333
56	90.015	86.72	78	63.05	69.63166667
